"","Cell","Paper","Title","Supporting.Table","Column","Gene.Set.Size","Overlap","Odds","P.Value","Adj.P.Value","Id","duplicate_count"
"2376","CD4 TCM","PMC10204264","Brain matters: unveiling the distinct contributions of region, age, and sex to glia diversity and CNS function","40478_2023_1568_MOESM2_ESM.xlsx","Microglia_Macrophages-Unnamed_0",2036,205,1.76,1.57e-17,1.25e-14,"40478_2023_1568_MOESM2_ESM $ Microglia_Macrophages-Unnamed_0",2
"2377","NK","PMC7723295","Single-cell RNA sequencing of human breast tumour-infiltrating immune cells reveals a γδ T-cell subtype associated with good clinical outcome","LSA-2020-00680_TableS5.xlsx","TableS5_BRCA_gdTsubtype_markers-Table_S5_Differentially_expressed_genes_between_breast_tumour_infiltrating_γδ-T_subtypes",434,53,4.11,1.56e-18,1.25e-14,"LSA-2020-00680_TableS5 $ TableS5_BRCA_gdTsubtype_markers-Table_S5_Differentially_expressed_genes_between_breast_tumour_infiltrating_γδ-T_subtypes",2
"2378","CD8 TEM","PMC8862024","Rheumatoid arthritis, systemic lupus erythematosus and primary Sjögren’s syndrome shared megakaryocyte expansion in peripheral blood","annrheumdis-2021-220066supp013.xlsx","CD8T_1-Gene_name",307,54,3.78,1.7e-17,1.27e-14,"annrheumdis-2021-220066supp013 $ CD8T_1-Gene_name",1
"2379","CD4 TCM","PMC8631402","The Identification of a Tumor Infiltration CD8+ T-Cell Gene Signature That Can Potentially Improve the Prognosis and Prediction of Immunization Responses in Papillary Renal Cell Carcinoma","DataSheet_2.csv","Unnamed_0",622,92,2.59,1.62e-17,1.28e-14,"DataSheet_2.csv $ Unnamed_0",1
"2380","CD8 TEM","PMC10091377","Behçet syndrome: The disturbed balance between anti‐ (CLEC12A, CLC) and proinflammatory (IFI27) gene expressions","IID3-11-e836-s008.xlsx","VvsC_p0_05_FC1_5-Gene_Identifier",2380,197,1.78,1.72e-17,1.28e-14,"IID3-11-e836-s008 $ VvsC_p0_05_FC1_5-Gene_Identifier",2
"2381","CD8 TEM","PMC4487811","Identification of a Dynamic Core Transcriptional Network in t(8;21) AML that Regulates Differentiation Block and Self-Renewal","mmc3.xlsx","siRE_enriched_geneLists-Unnamed_15",2011,175,1.87,1.72e-17,1.28e-14,"mmc3 $ siRE_enriched_geneLists-Unnamed_15",4
"2382","CD16 Mono","PMC10126311","Integrating single‐cell RNA sequencing with spatial transcriptomics reveals an immune landscape of human myometrium during labour","CTM2-13-e1234-s005.xlsx","Table_S5-Unnamed_23",988,83,2.82,5.45e-18,1.29e-14,"CTM2-13-e1234-s005 $ Table_S5-Unnamed_23",1
"2383","CD16 Mono","PMC4430703","Disruption of SF3B1 results in deregulated expression and splicing of key genes and pathways in myelodysplastic syndrome hematopoietic stem and progenitor cells","leu2014331x11.xlsx","Sup_Table_S9-DEXSeq_MTvsCON-GeneName",1746,118,2.27,5.49e-18,1.29e-14,"leu2014331x11 $ Sup_Table_S9-DEXSeq_MTvsCON-GeneName",1
"2384","CD4 TCM","PMC5430950","Transcriptional landscape of epithelial and immune cell populations revealed through FACS-seq of healthy human skin","41598_2017_1468_MOESM5_ESM.xls","T_cell-Supplementary_Table_S4_All_Module_Hub_Genes_T_cell",1630,175,1.88,1.63e-17,1.29e-14,"41598_2017_1468_MOESM5_ESM $ T_cell-Supplementary_Table_S4_All_Module_Hub_Genes_T_cell",1
"2385","CD14 Mono","PMC7455079","Patient ancestry significantly contributes to molecular heterogeneity of systemic lupus erythematosus","jciinsight-5-140380-s227.xlsx","Supp_Table_4-Unnamed_22",2278,161,1.95,5.94e-18,1.3e-14,"jciinsight-5-140380-s227 $ Supp_Table_4-Unnamed_22",1
"2386","CD4 TCM","PMC10165782","Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing","40164_2023_402_MOESM7_ESM.csv","Unnamed_0",1486,164,1.93,1.68e-17,1.33e-14,"40164_2023_402_MOESM7_ESM.csv $ Unnamed_0",4
"2387","CD4 TCM","PMC8896326","Mammary epithelial cell transcriptome reveals potential roles of lncRNAs in regulating milk synthesis pathways in Jersey and Kashmiri cattle","12864_2022_8406_MOESM6_ESM.xlsx","JERSEY-Pearson_s_product_moment_correlation_coefficients_r_between_lncRNA-mRNA_pairs_in_Jersey_cattle",1791,187,1.83,1.68e-17,1.33e-14,"12864_2022_8406_MOESM6_ESM $ JERSEY-Pearson_s_product_moment_correlation_coefficients_r_between_lncRNA-mRNA_pairs_in_Jersey_cattle",1
"2388","CD4 TCM","PMC8591202","Single-Cell Transcriptomic Analysis of Ecosystems in Papillary Thyroid Carcinoma Progression","Table_1.xls","Supplementary_table1-EnsemblID",601,90,2.62,1.69e-17,1.33e-14,"Table_1 $ Supplementary_table1-EnsemblID",2
"2389","CD8 TEM","PMC9288051","Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia","13046_2022_2428_MOESM6_ESM.xlsx","Super_enhancers_in_B-ALL2-OVERLAP_GENES",297,53,3.84,1.78e-17,1.33e-14,"13046_2022_2428_MOESM6_ESM $ Super_enhancers_in_B-ALL2-OVERLAP_GENES",2
"2390","CD16 Mono","PMC9169737","Cellular and transcriptional diversity over the course of human lactation","pnas.2121720119.sd06.xlsx","LC1-Supplemental_Dataset_6",1770,119,2.25,5.69e-18,1.34e-14,"pnas.2121720119.sd06 $ LC1-Supplemental_Dataset_6",4
"2391","CD16 Mono","PMC9996085","Single-cell RNA-seq analysis identifies distinct myeloid cells in a case with encephalitis temporally associated with COVID-19 vaccination","Table_4.xlsx","Sheet_1_-_Supplementary_Table_1-Unnamed_7",1864,123,2.21,5.84e-18,1.36e-14,"Table_4 $ Sheet_1_-_Supplementary_Table_1-Unnamed_7",4
"2392","CD4 TCM","PMC8728943","Integrative blood-derived epigenetic and transcriptomic analysis reveals the potential regulatory role of DNA methylation in ankylosing spondylitis","13075_2021_2697_MOESM3_ESM.xlsx","supplementary_data_S1-Unnamed_10",2010,203,1.77,1.72e-17,1.36e-14,"13075_2021_2697_MOESM3_ESM $ supplementary_data_S1-Unnamed_10",3
"2393","CD4 TCM","PMC8602403","Immune cell topography predicts response to PD-1 blockade in cutaneous T cell lymphoma","41467_2021_26974_MOESM8_ESM.xlsx","Sup_Data6-Supplementary_Data_6_Gene_expression_of_CIBERSORTx-resolved_tumor_cells_per_tissue_microarray_spot",710,100,2.47,1.73e-17,1.37e-14,"41467_2021_26974_MOESM8_ESM $ Sup_Data6-Supplementary_Data_6_Gene_expression_of_CIBERSORTx-resolved_tumor_cells_per_tissue_microarray_spot",1
"2394","CD14 Mono","PMC8663782","Human nasal wash RNA-Seq reveals distinct cell-specific innate immune responses in influenza versus SARS-CoV-2","jciinsight-6-152288-s099.xlsx","neut_-_COVID_vs_healthy-Supplemental_File_3_Cell_Subtypes_All_Donors",1792,137,2.1,6.32e-18,1.38e-14,"jciinsight-6-152288-s099 $ neut_-_COVID_vs_healthy-Supplemental_File_3_Cell_Subtypes_All_Donors",1
"2395","CD16 Mono","PMC9401185","Transcriptome profiling of blood from common bottlenose dolphins (Tursiops truncatus) in the northern Gulf of Mexico to enhance health assessment capabilities","pone.0272345.s004.xlsx","Supplemental_Table_4-Unnamed_2",2176,136,2.09,5.96e-18,1.38e-14,"pone.0272345.s004 $ Supplemental_Table_4-Unnamed_2",4
"2396","CD16 Mono","PMC8435761","Fatal cytokine release syndrome by an aberrant FLIP/STAT3 axis","41418_2021_866_MOESM2_ESM.xls","Fig4B-gene",1237,95,2.57,5.96e-18,1.38e-14,"41418_2021_866_MOESM2_ESM $ Fig4B-gene",2
"2397","CD8 TEM","PMC10025556","In vivo interrogation of regulatory genomes reveals extensive quasi-insufficiency in cancer evolution","mmc5.xlsx","S3-Unnamed_2",857,99,2.48,1.85e-17,1.38e-14,"mmc5 $ S3-Unnamed_2",3
"2398","CD4 TCM","PMC8964997","Single-Cell RNA Sequencing of Peripheral Blood Mononuclear Cells From Pediatric Coeliac Disease Patients Suggests Potential Pre-Seroconversion Markers","Table_2.xlsx","CD4_T_cells-SYMBOL",351,65,3.24,1.77e-17,1.39e-14,"Table_2 $ CD4_T_cells-SYMBOL",1
"2399","NK","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S42-Table_S42",1635,114,2.34,1.75e-18,1.39e-14,"41467_2022_33780_MOESM3_ESM $ Table_S42-Table_S42",4
"2400","CD8 TEM","PMC10352330","Context-defined cancer co-dependency mapping identifies a functional interplay between PRC2 and MLL-MEN1 complex in lymphoma","41467_2023_39990_MOESM6_ESM.xlsx","Fig_4f-Unnamed_4",2046,177,1.86,1.9e-17,1.41e-14,"41467_2023_39990_MOESM6_ESM $ Fig_4f-Unnamed_4",3
"2401","NK","PMC9758763","Tracking the clonal dynamics of SARS-CoV-2-specific T cells in children and adults with mild/asymptomatic COVID-19","mmc8.xlsx","T_cell_markers_res_0_65-gene",1074,88,2.76,1.8e-18,1.41e-14,"mmc8 $ T_cell_markers_res_0_65-gene",4
"2402","CD14 Mono","PMC9525123","TDO2+ myofibroblasts mediate immune suppression in malignant transformation of squamous cell carcinoma","jci-132-157649-s090.xlsx","S10_DEGs-Unnamed_6",861,86,2.75,6.53e-18,1.42e-14,"jci-132-157649-s090 $ S10_DEGs-Unnamed_6",2
"2403","CD16 Mono","PMC8065101","Characterisation of PALB2 tumours through whole-exome and whole-transcriptomic analyses","41523_2021_254_MOESM1_ESM.xlsx","BRCA2_n_1817-Gene_id",1795,120,2.24,6.14e-18,1.42e-14,"41523_2021_254_MOESM1_ESM $ BRCA2_n_1817-Gene_id",1
"2404","CD4 TCM","PMC5485630","Oncogenic Protein Kinase D3 Regulating Networks in Invasive Breast Cancer","ijbsv13p0748s1.xls","Supplementary_Table_1-Supplementary_Table_1_Comparative_phosphoproteomics_data",1592,172,1.89,1.81e-17,1.42e-14,"ijbsv13p0748s1 $ Supplementary_Table_1-Supplementary_Table_1_Comparative_phosphoproteomics_data",2
"2405","CD8 TEM","PMC9013654","Immune features of COVID-19 convalescent individuals revealed by a single-cell RNA sequencing","mmc5.xlsx","15-gene",1348,133,2.12,1.91e-17,1.42e-14,"mmc5 $ 15-gene",3
"2406","CD14 Mono","PMC9618568","Defining cellular complexity in human autosomal dominant polycystic kidney disease by multimodal single cell analysis","41467_2022_34255_MOESM7_ESM.xlsx","PEC_PODO-gene",979,93,2.61,6.68e-18,1.45e-14,"41467_2022_34255_MOESM7_ESM $ PEC_PODO-gene",1
"2407","CD4 TCM","PMC9834298","Prolyl-tRNA synthetase as a novel therapeutic target in multiple myeloma","41408_2023_787_MOESM6_ESM.xlsx","Exp1_DMSO_NCP_24hr-HGNC",1874,193,1.8,1.84e-17,1.45e-14,"41408_2023_787_MOESM6_ESM $ Exp1_DMSO_NCP_24hr-HGNC",1
"2408","CD4 TCM","PMC8483338","The HTLV-1 viral oncoproteins Tax and HBZ reprogram the cellular mRNA splicing landscape","ppat.1009919.s010.xlsx","18-Unnamed_1",1072,131,2.14,1.88e-17,1.47e-14,"ppat.1009919.s010 $ 18-Unnamed_1",1
"2409","CD8 TEM","PMC8632918","A DAP5/eIF3d alternate mRNA translation mechanism promotes differentiation and immune suppression by human regulatory T cells","41467_2021_27087_MOESM10_ESM.xlsx","Sheet1-Supplementary_Data_7_RAD001_TGFbeta_treatment_-_Translatome",1802,162,1.93,1.98e-17,1.47e-14,"41467_2021_27087_MOESM10_ESM $ Sheet1-Supplementary_Data_7_RAD001_TGFbeta_treatment_-_Translatome",1
"2410","CD8 TEM","PMC4169571","DNA Methylation Signatures Triggered by Prenatal Maternal Stress Exposure to a Natural Disaster: Project Ice Storm","pone.0107653.s007.xlsx","Supplementary_Table_3-Unnamed_4",698,87,2.68,2e-17,1.48e-14,"pone.0107653.s007 $ Supplementary_Table_3-Unnamed_4",1
"2411","CD8 TEM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S5-Unnamed_7",1738,158,1.95,2e-17,1.48e-14,"Data_Sheet_2 $ Table_S5-Unnamed_7",1
"2412","CD4 TCM","PMC9418141","Shared regulation and functional relevance of local gene co-expression revealed by single cell analysis","42003_2022_3831_MOESM4_ESM.xlsx","LCL_scCOPs-Unnamed_5",1462,162,1.94,1.9e-17,1.49e-14,"42003_2022_3831_MOESM4_ESM $ LCL_scCOPs-Unnamed_5",3
"2413","CD4 TCM","PMC9800255","Depletion of HIV reservoir by activation of ISR signaling in resting CD4+ T cells","mmc2.xlsx","Cluster1-gene",711,100,2.46,1.91e-17,1.49e-14,"mmc2 $ Cluster1-gene",2
"2414","CD4 TCM","PMC7321885","Intratumoral CD4+ T Cells Mediate Anti-tumor Cytotoxicity in Human Bladder Cancer","mmc2.xlsx","CD8FGFBP2-names",976,123,2.21,1.92e-17,1.5e-14,"mmc2 $ CD8FGFBP2-names",3
"2415","NK","PMC10514084","Sézary syndrome originates from heavily mutated hematopoietic progenitors","BLOODA_ADV-2022-008562-mmc3.xlsx","PreExh-gene",1892,125,2.22,1.95e-18,1.51e-14,"BLOODA_ADV-2022-008562-mmc3 $ PreExh-gene",5
"2416","CD4 TCM","PMC7515473","Pathogenic Autoimmunity in Atherosclerosis Evolves From Initially Protective Apolipoprotein B100–Reactive CD4+ T-Regulatory Cells","cir-142-1279-s005.xlsx","Data_file_S4-gene",917,118,2.25,1.95e-17,1.52e-14,"cir-142-1279-s005 $ Data_file_S4-gene",1
"2417","CD4 TCM","PMC9559247","Single-cell transcriptome analyses reveal distinct gene expression signatures of severe COVID-19 in the presence of clonal hematopoiesis","12276_2022_866_MOESM2_ESM.xls","Supplementary_Table_6-Unnamed_7",361,66,3.2,1.95e-17,1.52e-14,"12276_2022_866_MOESM2_ESM $ Supplementary_Table_6-Unnamed_7",2
"2418","CD16 Mono","PMC5323210","Identification of candidate anti-cancer molecular mechanisms of Compound Kushen Injection using functional genomics","oncotarget-07-66003-s003.xlsx","Up_5FUVSCtrl_24hr-Gene_ID",1867,123,2.21,6.63e-18,1.53e-14,"oncotarget-07-66003-s003 $ Up_5FUVSCtrl_24hr-Gene_ID",2
"2419","CD4 TCM","PMC4578259","Omic personality: implications of stable transcript and methylation profiles for personalized medicine","13073_2015_209_MOESM1_ESM.xlsx","Table_S5-Table_S5_Correlation_between_Peak_CpG_and_abundance_of_nearest_Transcript",1673,178,1.86,1.98e-17,1.54e-14,"13073_2015_209_MOESM1_ESM $ Table_S5-Table_S5_Correlation_between_Peak_CpG_and_abundance_of_nearest_Transcript",2
"2420","CD4 TCM","PMC3439921","Genome-wide localization and expression profiling establish Sp2 as a sequence-specific transcription factor regulating vitally important genes","supp_gks544_nar-01146-v-2012-File012.xls","DataFrame-Genes_name_with_TSS_within_500_bp",1411,158,1.96,1.99e-17,1.55e-14,"supp_gks544_nar-01146-v-2012-File012 $ DataFrame-Genes_name_with_TSS_within_500_bp",2
"2421","CD4 TCM","PMC9122264","Multimodal profiling of lung granulomas in macaques reveals cellular correlates of tuberculosis control","mmc3.xlsx","Fibroblasts-Gene_ID",1196,141,2.06,2.03e-17,1.57e-14,"mmc3 $ Fibroblasts-Gene_ID",2
"2422","CD8 TEM","PMC10055361","Supervised learning of high-confidence phenotypic subpopulations from single-cell data","media-2.csv","Unnamed_0",1215,124,2.19,2.13e-17,1.57e-14,"media-2.csv $ Unnamed_0",1
"2423","CD16 Mono","PMC7924267","A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2","media-19.xlsx","up_7-feature",972,82,2.83,6.94e-18,1.59e-14,"media-19 $ up_7-feature",2
"2424","CD4 TCM","PMC5485630","Oncogenic Protein Kinase D3 Regulating Networks in Invasive Breast Cancer","ijbsv13p0748s2.xls","Supplementary_Table_2-2-Supplementary_Table_2-2_PRKD3_phospho-dataset",1594,172,1.89,2.05e-17,1.59e-14,"ijbsv13p0748s2 $ Supplementary_Table_2-2-Supplementary_Table_2-2_PRKD3_phospho-dataset",2
"2425","CD4 TCM","PMC10350077","Proteomics and phosphoproteomics profiling in glutamatergic neurons and microglia in an iPSC model of Jansen de Vries Syndrome","media-8.xlsx","PPM1D_tr_LPS_vs_Cont_LPS-Gene_Symbol",1373,155,1.98,2.06e-17,1.59e-14,"media-8 $ PPM1D_tr_LPS_vs_Cont_LPS-Gene_Symbol",3
"2426","CD4 TCM","PMC10350077","Proteomics and phosphoproteomics profiling in glutamatergic neurons and microglia in an iPSC model of Jansen de Vries Syndrome","media-6.xlsx","PPM1D_tr_untreated_vs_Control-Gene_Symbol",1373,155,1.98,2.06e-17,1.59e-14,"media-6 $ PPM1D_tr_untreated_vs_Control-Gene_Symbol",3
"2427","CD4 TCM","PMC4482623","Rechecking the Centrality-Lethality Rule in the Scope of Protein Subcellular Localization Interaction Networks","pone.0130743.s007.xls","Top_15-Unnamed_3",2422,232,1.68,2.07e-17,1.6e-14,"pone.0130743.s007 $ Top_15-Unnamed_3",1
"2428","CD8 TEM","PMC10121856","Stepwise activities of mSWI/SNF family chromatin remodeling complexes direct T cell activation and exhaustion","NIHMS1880557-supplement-MMC2.xlsx","Table_S1-Unnamed_4",268,50,4.01,2.21e-17,1.63e-14,"NIHMS1880557-supplement-MMC2 $ Table_S1-Unnamed_4",1
"2429","CD4 TCM","PMC9834298","Prolyl-tRNA synthetase as a novel therapeutic target in multiple myeloma","41408_2023_787_MOESM6_ESM.xlsx","Exp1_DMSO_NCP_24hr-ensembl_gene",1863,192,1.8,2.14e-17,1.65e-14,"41408_2023_787_MOESM6_ESM $ Exp1_DMSO_NCP_24hr-ensembl_gene",1
"2430","CD4 TCM","PMC9013654","Immune features of COVID-19 convalescent individuals revealed by a single-cell RNA sequencing","mmc5.xlsx","15-gene",1348,153,1.99,2.14e-17,1.65e-14,"mmc5 $ 15-gene",3
"2431","CD8 TEM","PMC9668748","Broad transcriptomic dysregulation occurs across the cerebral cortex in ASD","41586_2022_5377_MOESM10_ESM.xlsx","PseudobulkExpression-MG_genes",2420,199,1.77,2.24e-17,1.65e-14,"41586_2022_5377_MOESM10_ESM $ PseudobulkExpression-MG_genes",3
"2432","CD4 TCM","PMC6462079","Risk variants disrupting enhancers of TH1 and TREG cells in type 1 diabetes","pnas.1815336116.sd07.xlsx","All-Unnamed_1",1438,160,1.95,2.15e-17,1.66e-14,"pnas.1815336116.sd07 $ All-Unnamed_1",2
"2433","CD16 Mono","PMC9088131","Single-cell profiling of human dura and meningioma reveals cellular meningeal landscape and insights into meningioma immune response","13073_2022_1051_MOESM7_ESM.xlsx","T_cell_Tumor_vs_Dura-gene",2354,143,2.04,7.34e-18,1.68e-14,"13073_2022_1051_MOESM7_ESM $ T_cell_Tumor_vs_Dura-gene",5
"2434","CD4 TCM","PMC9346114","CAF08 adjuvant enables single dose protection against respiratory syncytial virus infection in murine newborns","41467_2022_31709_MOESM6_ESM.xlsx","Sheet1-Gene_names",1323,151,2,2.21e-17,1.69e-14,"41467_2022_31709_MOESM6_ESM $ Sheet1-Gene_names",3
"2435","CD4 TCM","PMC9346114","CAF08 adjuvant enables single dose protection against respiratory syncytial virus infection in murine newborns","41467_2022_31709_MOESM4_ESM.xlsx","Sheet1-Gene_names",1323,151,2,2.21e-17,1.69e-14,"41467_2022_31709_MOESM4_ESM $ Sheet1-Gene_names",3
"2436","CD4 TCM","PMC9346114","CAF08 adjuvant enables single dose protection against respiratory syncytial virus infection in murine newborns","41467_2022_31709_MOESM5_ESM.xlsx","Sheet1-Gene_names",1323,151,2,2.21e-17,1.69e-14,"41467_2022_31709_MOESM5_ESM $ Sheet1-Gene_names",3
"2437","CD14 Mono","PMC9497456","Identification of macrophage correlated biomarkers to predict the prognosis in patients with intrahepatic cholangiocarcinoma","DataSheet_3.csv","Unnamed_0",1506,122,2.23,7.89e-18,1.7e-14,"DataSheet_3.csv $ Unnamed_0",3
"2438","CD4 TCM","PMC8111910","Cryopreservation of human cancers conserves tumour heterogeneity for single-cell multi-omics analysis","13073_2021_885_MOESM7_ESM.xlsx","M-P1-gene",1932,197,1.79,2.22e-17,1.7e-14,"13073_2021_885_MOESM7_ESM $ M-P1-gene",1
"2439","CD4 TCM","PMC8631402","The Identification of a Tumor Infiltration CD8+ T-Cell Gene Signature That Can Potentially Improve the Prognosis and Prediction of Immunization Responses in Papillary Renal Cell Carcinoma","DataSheet_1.csv","Unnamed_0",625,92,2.58,2.22e-17,1.7e-14,"DataSheet_1.csv $ Unnamed_0",1
"2440","CD8 TEM","PMC7238332","Identification and Validation of Prognostically Relevant Gene Signature in Melanoma","5323614.f1.xlsx","pro_gene_cox-gene",1551,146,2.02,2.31e-17,1.7e-14,"5323614.f1 $ pro_gene_cox-gene",1
"2441","CD4 TCM","PMC7321885","Intratumoral CD4+ T Cells Mediate Anti-tumor Cytotoxicity in Human Bladder Cancer","mmc2.xlsx","CD4GZMK-names",966,122,2.21,2.24e-17,1.71e-14,"mmc2 $ CD4GZMK-names",3
"2442","CD4 TCM","PMC6483354","Insights from deconvolution of cell subtype proportions enhance the interpretation of functional genomic data","pone.0215987.s007.xlsx","S5_Table-Unnamed_1",1796,187,1.82,2.25e-17,1.71e-14,"pone.0215987.s007 $ S5_Table-Unnamed_1",4
"2443","CD4 TCM","PMC8800483","Molecular mechanisms governing circulating immune cell heterogeneity across different species revealed by single‐cell sequencing","CTM2-12-e689-s005.xlsx","10h_Tiger-Unnamed_1",1014,126,2.18,2.28e-17,1.73e-14,"CTM2-12-e689-s005 $ 10h_Tiger-Unnamed_1",3
